id,value
W07000049,17008
W07000058,12653
S14000001,4939
S14000002,3834
S14000003,12728
E14000530,11282
E14000531,8014
E14000532,20172
W07000043,18271
E14000533,12210
S14000004,2051
W07000057,10353
S14000005,3248
E14000534,9722
E14000535,11971
E14000536,13241
E14000537,18544
E14000538,15364
S14000006,6219
E14000539,17335
S14000007,1734
E14000540,27219
E14000541,14804
E14000542,14329
E14000543,18087
E14000544,9178
E14000545,15395
E14000546,14065
E14000547,6639
E14000548,22594
E14000549,27290
E14000550,5756
E14000551,13024
E14000552,20491
E14000553,31723
S14000008,2513
E14000554,9112
E14000555,44052
E14000556,12802
E14000557,11531
E14000558,12753
E14000559,24990
E14000560,21217
E14000561,17720
E14000562,35889
E14000563,35397
E14000564,33355
E14000565,18317
E14000566,26594
E14000567,27714
E14000568,23379
E14000569,16105
E14000570,29040
E14000571,23887
E14000572,13768
E14000573,12557
W07000072,14862
E14000574,19794
E14000575,16728
E14000576,10018
E14000577,16492
E14000578,19381
E14000579,21516
E14000580,18400
E14000581,39066
E14000582,6342
E14000583,9778
E14000584,16120
E14000585,14400
E14000586,12065
E14000587,27825
E14000588,18390
E14000589,33736
E14000590,9439
W07000068,3944
E14000591,31779
E14000593,29266
E14000592,26911
E14000594,7243
W07000073,17036
E14000595,11388
E14000596,9000
E14000597,25033
E14000598,13211
E14000599,27717
E14000600,27330
E14000601,27895
E14000602,47028
E14000603,12073
E14000604,13067
E14000605,11302
E14000606,10824
E14000607,21271
E14000608,7638
E14000609,14368
E14000610,15064
E14000611,21555
E14000612,21632
E14000613,12782
W07000076,18018
S14000009,1936
E14000614,24207
E14000615,40258
E14000616,18064
E14000617,25776
E14000618,11757
E14000619,29018
W07000050,25605
W07000051,26064
W07000080,27382
W07000079,23908
E14000620,15340
W07000067,8622
W07000066,14438
E14000621,6081
E14000622,7337
S14000010,6583
E14000623,14374
E14000624,11862
W07000064,6317
E14000625,12724
E14000626,10316
E14000627,6851
E14000628,10295
E14000629,10872
E14000630,2921
E14000631,7166
E14000632,18171
E14000633,9069
E14000634,22219
E14000635,6399
E14000636,24533
